Score,Lona,Dirección,Año construcción,Lat,Lng,Link Google Maps,Tipo techo,Descripción del daño,Folio,Estado,Contactado (sí/no),Daño confirmado (sí/no/no visible),Notas del setter
9,SÍ (azul),"16975 SW 141 AVE, Unincorporated County, FL 33177",1997,25.609594992028644,-80.42210271401865,"https://maps.google.com/?q=25.609594992028644,-80.42210271401865",tile,"Bluish discoloration on the roof of the center house, but lacks clear physical evidence of a tarp such as wrinkles or folds. The material appears to be aged or ambiguous, warranting a visit. visible patches at roof edge",3059270273930,confirmado,,,
9,SÍ (azul),"16110 SW 107 PL, Unincorporated County, FL 33157",1972,25.61963401821316,-80.36772175047695,"https://maps.google.com/?q=25.61963401821316,-80.36772175047695",tile,"Blue material detected on the roof of the center house, but lacks clear physical evidence of a tarp such as wrinkles or folds. The roof shows some signs of wear, but the blue detection may not be conclusive for a real emergency. visible patches at roof edge",3050300030740,confirmado,,,
9,SÍ,"15861 SW 144 PL, Unincorporated County, FL 33177",1994,25.61940873104565,-80.42767746220201,"https://maps.google.com/?q=25.61940873104565,-80.42767746220201",tile,"Tile roof with irregular pattern and some broken/displaced tiles visible, hard to confirm from aerial clearly cracked or missing tiles visible from street angle",3059270180190,confirmado,,,
9,SÍ (azul),"3040 NW 14 ST, Miami, FL 33125",1966,25.786342299913223,-80.24464841389727,"https://maps.google.com/?q=25.786342299913223,-80.24464841389727",tile,"Bluish discoloration detected on the roof of the CENTER house, but lacks clear physical evidence of a tarp such as wrinkles or sandbags. The condition appears to be ambiguous, warranting a visit. visible patches at roof edge and sagging sections",0131330220490,confirmado,,,
9,SÍ (azul),"1810 SW 93 CT, Unincorporated County, FL 33165",1960,25.752550190463545,-80.34647808430059,"https://maps.google.com/?q=25.752550190463545,-80.34647808430059",tile,"Bluish discoloration on the roof that could be aged tarp material but lacks clear physical evidence of a tarp, such as wrinkles or folds. tarp visible on part of the roof",3040090071680,confirmado,,,
9,SÍ (azul),"14280 SW 166 ST, Unincorporated County, FL 33177",1997,25.612939737938166,-80.42378747344823,"https://maps.google.com/?q=25.612939737938166,-80.42378747344823",tile,"Bluish discoloration on the roof of the center house, which could be aged tarp material but lacks clear physical evidence of a tarp being draped over the roof. tarp visible on roof",3059270271230,confirmado,,,
9,SÍ (azul),"16341 SW 139 CT, Unincorporated County, FL 33177",1994,25.615578486659214,-80.41893762296571,"https://maps.google.com/?q=25.615578486659214,-80.41893762296571",tile,"Blue material detected on the roof of the center house, but lacks clear physical evidence of a tarp such as wrinkles or sandbags. The material appears to be a bluish discoloration that could be aged tarp material. tarp visible on roof",3059270221030,confirmado,,,
9,SÍ (azul),"12020 SW 187 TER, Unincorporated County, FL 33177",1957,25.593555345002837,-80.38759428095787,"https://maps.google.com/?q=25.593555345002837,-80.38759428095787",tile,"The blue covering is located on the center section of the roof, approximately covering a quarter of the roof area. The edges of the covering are not clearly visible, and there are no apparent wrinkles or weights observed. visible patches at roof edge",3060060015940,revisar,,,
9,SÍ (azul),"3042 NW 102 ST, Unincorporated County, FL 33147",1940,25.86716608532444,-80.24754704902435,"https://maps.google.com/?q=25.86716608532444,-80.24754704902435",flat,"Flat roof with blue tarp draped over sections, indicating significant damage requiring immediate attention. visible patches at roof edge, sagging sections, stains running down exterior walls from roof drainage failure",3031040037760,revisar,,,
9,SÍ (azul),"1521 NW 36 AVE, Miami, FL 33125",1948,25.788441047139305,-80.25342499693222,"https://maps.google.com/?q=25.788441047139305,-80.25342499693222",tile,"Bluish discoloration on the roof of the center house, but lacks clear physical evidence of a tarp such as wrinkles or folds. The material appears to be aged and may not be a confirmed tarp. visible patches at roof edge",0131330144580,confirmado,,,
9,SÍ (azul),"14240 SW 166 ST, Unincorporated County, FL 33177",1997,25.61295631489028,-80.42307063628004,"https://maps.google.com/?q=25.61295631489028,-80.42307063628004",tile,"Bluish discoloration on the roof of the center house suggests the presence of a tarp, but there is no clear physical evidence such as wrinkles or folds to confirm it as a real emergency tarp. visible patches at roof edge and sagging sections",3059270271190,confirmado,,,
9,SÍ (azul),"14539 SW 171 TER, Unincorporated County, FL 33177",1994,25.608238984695276,-80.42842535308246,"https://maps.google.com/?q=25.608238984695276,-80.42842535308246",tile,"Blue material detected on the roof of the center house, but lacks clear physical evidence of a tarp such as wrinkles or folds. The material appears to be a bluish discoloration that could be aged tarp material, making it ambiguous and worth a visit. tarp visible on roof",3059340040500,confirmado,,,
8,,"3150 NW 99 ST, Unincorporated County, FL 33147",1952,25.86435255142101,-80.24970148090141,"https://maps.google.com/?q=25.86435255142101,-80.24970148090141",flat,"flat roof with exposed substrate and multiple large patches >20% coverage visible patches at roof edge, stains running down exterior walls from roof drainage failure",3031040030540,revisar,,,
9,SÍ (azul),"1340 E 8 AVE, Hialeah, FL 33010",1949,25.83475196206269,-80.26604224973651,"https://maps.google.com/?q=25.83475196206269,-80.26604224973651",tile,"Bluish discoloration on the roof of the center house, but lacks clear physical evidence of a tarp such as wrinkles or folds. The blue material appears to be aged or possibly a tarp, but it is not definitively confirmed. visible patches at roof edge",0431170071540,confirmado,,,
9,SÍ (azul),"9025 SW 28 ST, Unincorporated County, FL 33165",1967,25.744181154773223,-80.34217645416564,"https://maps.google.com/?q=25.744181154773223,-80.34217645416564",flat,"flat roof with blue tarp covering significant sections, indicating clear structural damage requiring immediate attention visible patches at roof edge, sagging sections, stains running down exterior walls from roof drainage failure",3040160041630,revisar,,,
9,SÍ (azul),"16986 SW 145 AVE, Unincorporated County, FL 33177",1993,25.609253991594517,-80.42787475435141,"https://maps.google.com/?q=25.609253991594517,-80.42787475435141",tile,"Bluish discoloration on the roof of the center house suggests possible tarp material, but there is no clear physical evidence of a tarp such as wrinkles or sandbags. The roof appears to be in fair condition with no visible missing tiles. tarp covering part of the roof",3059340030440,confirmado,,,
9,SÍ (azul),"2130 NW 92 ST, Unincorporated County, FL 33147",1950,25.857881316414474,-80.23281979865219,"https://maps.google.com/?q=25.857881316414474,-80.23281979865219",flat,"flat roof with blue tarp draped over sections, indicating clear structural damage requiring immediate attention visible patches at roof edge, sagging sections, stains running down exterior walls from roof drainage failure",3031030110590,revisar,,,
9,SÍ (azul),"5390 W 6 LN, Hialeah, FL 33012",1956,25.87151633332794,-80.29676844471918,"https://maps.google.com/?q=25.87151633332794,-80.29676844471918",tile,"Blue tarp material is clearly draped over the roof surface of the center house, with visible wrinkles and folds indicating a physical tarp presence. The tarp covers a significant portion of the roof, and there are signs of deterioration or damage beneath it, suggesting an emergency situation. visible patches at roof edge, sagging sections, stains running down exterior walls from roof drainage failure",0420360112070,revisar,,,
7,SÍ (azul),"3515 NW 103 ST, Unincorporated County, FL 33147",1930,25.867930011283843,-80.2552642108234,"https://maps.google.com/?q=25.867930011283843,-80.2552642108234",tile,"The blue material appears to cover a section of the center house roof, primarily on the left side. The coverage area seems to be approximately one-third of the roof, but there are no visible wrinkles, sandbags, or draped edges, making the texture unclear. no damage visible",3021330030120,confirmado,,,
9,SÍ (azul),"12010 SW 213 TER, Unincorporated County, FL 33177",1955,25.568151690524918,-80.3872214518374,"https://maps.google.com/?q=25.568151690524918,-80.3872214518374",tile,"The blue material appears to cover a significant portion of the center house roof, primarily on the upper section. The edges of the material are not clearly visible, and there are no evident wrinkles or weights observed. visible patches at roof edge",3069120081420,revisar,,,
7,SÍ (azul),"9480 NW 3 AVE, Unincorporated County, FL 33150",1930,25.86175630386369,-80.2038602973104,"https://maps.google.com/?q=25.86175630386369,-80.2038602973104",tile,"The aerial view shows a blue tarp covering a significant portion of the left slope of the tile roof, while the street view reveals the tarp is tightly draped with vibrant blue color and edges secured without visible hanging.",3031010031710,confirmado,,,
9,SÍ (azul),"1620 NW 93 ST, Unincorporated County, FL 33147",1949,25.85898694408485,-80.225587021406,"https://maps.google.com/?q=25.85898694408485,-80.225587021406",tile,"Bluish discoloration on the roof of the center house, but lacks clear physical evidence of a tarp such as wrinkles or folds. The material appears to be aged and may not be a confirmed tarp. visible patches at roof edge",3031020020100,confirmado,,,
9,SÍ (azul),"9535 SW 37 ST, Unincorporated County, FL 33165",1957,25.735726194156083,-80.35034750728587,"https://maps.google.com/?q=25.735726194156083,-80.35034750728587",tile,"Blue tarp material is clearly draped over the roof surface of the center house, with visible wrinkles and folds indicating a physical tarp presence. The tarp covers a significant portion of the roof, and there is no evidence of it being a false positive such as a pool, painted metal roof, fumigation tent, or material on a neighboring building. The house was built in 1957, which supports the likelihood of needing roof work, thus justifying the high score. visible patches at roof edge, sagging sections, stains running down exterior walls from roof drainage failure",3040160050190,revisar,,,
9,SÍ (azul),"8020 SW 16 ST, Unincorporated County, FL 33155",1957,25.75493504776481,-80.32641856261687,"https://maps.google.com/?q=25.75493504776481,-80.32641856261687",tile,"Bluish discoloration on the roof of the center house suggests possible tarp material, but there is no clear physical evidence of a tarp such as wrinkles or folds. visible patches at roof edge",3040100180090,confirmado,,,
9,SÍ (azul),"14540 SW 159 ST, Unincorporated County, FL 33177",1994,25.61894145042044,-80.42921839887741,"https://maps.google.com/?q=25.61894145042044,-80.42921839887741",tile,"Blue material is draped over the roof surface of the center house, but there is no strong physical evidence such as wrinkles or sandbag weights visible. visible patches at roof edge, sagging sections, stains running down exterior walls from roof drainage failure",3059270180270,confirmado,,,
9,SÍ (azul),"9770 WAYNE AVE, Palmetto Bay, FL 33157",1946,25.601700108690796,-80.35003856052974,"https://maps.google.com/?q=25.601700108690796,-80.35003856052974",tile,"The blue covering is located on the center section of the roof, approximately covering half of the roof area. The texture of the material is not clearly visible, and there are no evident wrinkles or edges hanging over. visible patches at roof edge",3350320070290,revisar,,,
5,SÍ (azul),"14112 SW 153 TER, Unincorporated County, FL 33177",1999,25.62463565318936,-80.42159688913195,"https://maps.google.com/?q=25.62463565318936,-80.42159688913195",tile,"Blue material detected on the roof of the center house, but lacks clear physical evidence of a tarp such as wrinkles or sandbag weights. The blue appears to be a discoloration rather than a confirmed tarp. no damage visible",3059270301410,revisar,,,
9,SÍ (azul),"1881 SW 90 AVE, Unincorporated County, FL 33165",1958,25.75192638270965,-80.34160769809053,"https://maps.google.com/?q=25.75192638270965,-80.34160769809053",tile,"Blue material detected on the roof of the center house, but lacks clear physical evidence of a tarp such as wrinkles or folds. The roof appears to be in fair condition with no visible missing tiles. tarp visible on roof",3040090053780,confirmado,,,
9,SÍ (azul),"8441 SW 21 ST, Unincorporated County, FL 33155",1959,25.75043516905714,-80.33273890253176,"https://maps.google.com/?q=25.75043516905714,-80.33273890253176",flat,"Blue material is draped over the center house roof, but there is no strong physical evidence such as wrinkles or sandbag weights visible. tarp covering part of the roof",3040100160760,confirmado,,,
9,SÍ,"2106 NW 99 ST, Unincorporated County, FL 33147",1988,25.864461485073864,-80.23265194777689,"https://maps.google.com/?q=25.864461485073864,-80.23265194777689",flat,"Flat roof with exposed substrate (boards/wood visible through holes in membrane), indicating significant deterioration. visible patches at roof edge, sagging sections, stains running down exterior walls from roof drainage failure",3031030080080,revisar,,,
9,SÍ (azul),"9980 SW 42 TER, Unincorporated County, FL 33165",1952,25.728229052644227,-80.35727424068475,"https://maps.google.com/?q=25.728229052644227,-80.35727424068475",tile,"The blue covering is located on the left section of the center house roof, approximately covering half of the roof area. The texture of the material is not clearly visible, and there are no evident wrinkles or edges hanging over. visible patches at roof edge",3040200041680,confirmado,,,
9,SÍ (azul),"10411 NW 33 AVE, Unincorporated County, FL 33147",1975,25.869006773527307,-80.25304621137008,"https://maps.google.com/?q=25.869006773527307,-80.25304621137008",tile,"Bluish discoloration on the roof of the center house, but lacks clear physical evidence of a tarp such as wrinkles or folds. The blue material appears to be aged or ambiguous, warranting a visit. visible patches at roof edge and sagging sections",3021330023350,confirmado,,,
9,SÍ (azul),"840 NW 30 CT, Miami, FL 33125",1946,25.78118431221544,-80.24495483940564,"https://maps.google.com/?q=25.78118431221544,-80.24495483940564",tile,"Bluish discoloration on the roof of the center house, but lacks clear physical evidence of a tarp such as wrinkles or folds. The material appears to be aged or possibly a reflection, making it ambiguous. visible patches at roof edge",0131330200110,confirmado,,,
7,SÍ (azul),"174 W 30 ST, Hialeah, FL 33012",1948,25.84885832176371,-80.28569493451162,"https://maps.google.com/?q=25.84885832176371,-80.28569493451162",flat,"The aerial view shows a blue tarp covering a significant portion of the rear slope of the flat roof, while the street view reveals the tarp is smooth and tightly draped with its edges hanging slightly over the sides.",0431070100880,confirmado,,,
9,SÍ,"14226 SW 177 TER, Unincorporated County, FL 33177",1997,25.601985028177413,-80.42265878878649,"https://maps.google.com/?q=25.601985028177413,-80.42265878878649",tile,"Tile roof with irregular pattern, some broken/displaced tiles visible, hard to confirm from aerial. Multiple irregular dark spots and patchwork repairs observed. Visible patches at roof edge, sagging sections, stains running down exterior walls from roof drainage failure",3059340170320,revisar,,,
8,,"1771 NW 88 ST, Unincorporated County, FL 33147",1954,25.855072130002142,-80.22702649557675,"https://maps.google.com/?q=25.855072130002142,-80.22702649557675",metal,"Metal roof with clear structural damage, large gaps and missing sections visible from aerial view. visible patches at roof edge, sagging sections, stains running down exterior walls from roof drainage failure",3031030300170,revisar,,,
9,SÍ (azul),"3061 NW 18 ST, Miami, FL 33125",1938,25.791397916372805,-80.24547373998574,"https://maps.google.com/?q=25.791397916372805,-80.24547373998574",tile,"Bluish discoloration detected on the roof of the center house, but lacks clear physical evidence of a tarp such as wrinkles or folds. The material appears to be aged or possibly noise, warranting a visit for further inspection. tarp visible on roof",0131330330300,confirmado,,,
9,SÍ (azul),"2861 NW 103 ST, Unincorporated County, FL 33147",1958,25.868360229014474,-80.24468683972323,"https://maps.google.com/?q=25.868360229014474,-80.24468683972323",tile,"Blue material detected on the roof of the center house, but lacks clear physical evidence of a tarp such as wrinkles or folds. The roof shows signs of possible deterioration, making it ambiguous and worth a visit. tarp covering part of the roof",3021330021090,confirmado,,,
